DATE_AS_AT,AGG_LEVEL,STATE,ABS_CODE,ABS_NAME,AGE_LOWER,AGE_UPPER,AIR_FIRST_DOSE_PCT,AIR_SECOND_DOSE_PCT,AIR_FIRST_DOSE_APPROX_COUNT,AIR_SECOND_DOSE_APPROX_COUNT,AIR_INDIGENOUS_POPULATION,ABS_ERP_2019_POPULATION,VALIDATED,URL
2021-08-30,ASGS_2016_SA4,NSW,114,Southern Highlands and Shoalhaven,15,999,40.89,20.45,1929,965,4718,129789,Y,https://www.health.gov.au/sites/default/files/documents/2021/09/covid-19-vaccination-geographic-vaccination-rates-sa4-indigenous-population-31-august-2021.pdf
2021-08-30,ASGS_2016_SA4,NSW,115,Sydney - Baulkham Hills and Hawkesbury,15,999,63.27,33.39,813,429,1285,199726,Y,https://www.health.gov.au/sites/default/files/documents/2021/09/covid-19-vaccination-geographic-vaccination-rates-sa4-indigenous-population-31-august-2021.pdf
2021-08-30,ASGS_2016_SA4,NSW,116,Sydney - Blacktown,15,999,52.73,20.63,3683,1441,6984,291560,Y,https://www.health.gov.au/sites/default/files/documents/2021/09/covid-19-vaccination-geographic-vaccination-rates-sa4-indigenous-population-31-august-2021.pdf
2021-08-30,ASGS_2016_SA4,NSW,117,Sydney - City and Inner South,15,999,55.6,31.41,2225,1257,4002,333308,Y,https://www.health.gov.au/sites/default/files/documents/2021/09/covid-19-vaccination-geographic-vaccination-rates-sa4-indigenous-population-31-august-2021.pdf
2021-08-30,ASGS_2016_SA4,NSW,118,Sydney - Eastern Suburbs,15,999,60.62,37.23,1156,710,1907,251184,Y,https://www.health.gov.au/sites/default/files/documents/2021/09/covid-19-vaccination-geographic-vaccination-rates-sa4-indigenous-population-31-august-2021.pdf
2021-08-30,ASGS_2016_SA4,NSW,119,Sydney - Inner South West,15,999,63.57,31.62,1996,993,3140,512553,Y,https://www.health.gov.au/sites/default/files/documents/2021/09/covid-19-vaccination-geographic-vaccination-rates-sa4-indigenous-population-31-august-2021.pdf
2021-08-30,ASGS_2016_SA4,NSW,120,Sydney - Inner West,15,999,60.57,33.64,994,552,1641,274697,Y,https://www.health.gov.au/sites/default/files/documents/2021/09/covid-19-vaccination-geographic-vaccination-rates-sa4-indigenous-population-31-august-2021.pdf
2021-08-30,ASGS_2016_SA4,NSW,121,Sydney - North Sydney and Hornsby,15,999,66.31,40.74,677,416,1021,360504,Y,https://www.health.gov.au/sites/default/files/documents/2021/09/covid-19-vaccination-geographic-vaccination-rates-sa4-indigenous-population-31-august-2021.pdf
2021-08-30,ASGS_2016_SA4,NSW,122,Sydney - Northern Beaches,15,999,59.81,30.55,515,263,861,221234,Y,https://www.health.gov.au/sites/default/files/documents/2021/09/covid-19-vaccination-geographic-vaccination-rates-sa4-indigenous-population-31-august-2021.pdf
2021-08-30,ASGS_2016_SA4,NSW,123,Sydney - Outer South West,15,999,59.71,27.99,3776,1770,6324,224905,Y,https://www.health.gov.au/sites/default/files/documents/2021/09/covid-19-vaccination-geographic-vaccination-rates-sa4-indigenous-population-31-august-2021.pdf
2021-08-30,ASGS_2016_SA4,NSW,124,Sydney - Outer West and Blue Mountains,15,999,55.91,23.68,3950,1673,7065,260710,Y,https://www.health.gov.au/sites/default/files/documents/2021/09/covid-19-vaccination-geographic-vaccination-rates-sa4-indigenous-population-31-august-2021.pdf
2021-08-30,ASGS_2016_SA4,NSW,125,Sydney - Parramatta,15,999,55.73,28.07,1469,740,2636,404153,Y,https://www.health.gov.au/sites/default/files/documents/2021/09/covid-19-vaccination-geographic-vaccination-rates-sa4-indigenous-population-31-august-2021.pdf
2021-08-30,ASGS_2016_SA4,NSW,126,Sydney - Ryde,15,999,63.19,35.1,333,185,527,170309,Y,https://www.health.gov.au/sites/default/files/documents/2021/09/covid-19-vaccination-geographic-vaccination-rates-sa4-indigenous-population-31-august-2021.pdf
2021-08-30,ASGS_2016_SA4,NSW,127,Sydney - South West,15,999,57,27.16,2285,1089,4009,359341,Y,https://www.health.gov.au/sites/default/files/documents/2021/09/covid-19-vaccination-geographic-vaccination-rates-sa4-indigenous-population-31-august-2021.pdf
2021-08-30,ASGS_2016_SA4,NSW,128,Sydney - Sutherland,15,999,66.1,36.67,1121,622,1696,186637,Y,https://www.health.gov.au/sites/default/files/documents/2021/09/covid-19-vaccination-geographic-vaccination-rates-sa4-indigenous-population-31-august-2021.pdf
2021-08-30,ASGS_2016_SA4,NT,701,Darwin,15,999,39.25,23.52,6690,4010,17046,117809,Y,https://www.health.gov.au/sites/default/files/documents/2021/09/covid-19-vaccination-geographic-vaccination-rates-sa4-indigenous-population-31-august-2021.pdf
2021-08-30,ASGS_2016_SA4,NT,702,Northern Territory - Outback,15,999,39.03,22.56,12200,7054,31261,75289,Y,https://www.health.gov.au/sites/default/files/documents/2021/09/covid-19-vaccination-geographic-vaccination-rates-sa4-indigenous-population-31-august-2021.pdf
2021-08-30,ASGS_2016_SA4,OT,901,Other Territories,15,999,46.36,27.15,70,41,151,3866,Y,https://www.health.gov.au/sites/default/files/documents/2021/09/covid-19-vaccination-geographic-vaccination-rates-sa4-indigenous-population-31-august-2021.pdf
2021-08-30,ASGS_2016_SA4,QLD,301,Brisbane - East,15,999,42.34,25.77,1699,1034,4013,193941,Y,https://www.health.gov.au/sites/default/files/documents/2021/09/covid-19-vaccination-geographic-vaccination-rates-sa4-indigenous-population-31-august-2021.pdf
2021-08-30,ASGS_2016_SA4,QLD,302,Brisbane - North,15,999,39.92,23.56,1386,818,3472,184504,Y,https://www.health.gov.au/sites/default/files/documents/2021/09/covid-19-vaccination-geographic-vaccination-rates-sa4-indigenous-population-31-august-2021.pdf
2021-08-30,ASGS_2016_SA4,QLD,303,Brisbane - South,15,999,35.68,20.42,1272,728,3565,307826,Y,https://www.health.gov.au/sites/default/files/documents/2021/09/covid-19-vaccination-geographic-vaccination-rates-sa4-indigenous-population-31-august-2021.pdf
2021-08-30,ASGS_2016_SA4,QLD,304,Brisbane - West,15,999,45.75,26.45,576,333,1259,156576,Y,https://www.health.gov.au/sites/default/files/documents/2021/09/covid-19-vaccination-geographic-vaccination-rates-sa4-indigenous-population-31-august-2021.pdf
2021-08-30,ASGS_2016_SA4,QLD,305,Brisbane Inner City,15,999,42.32,24.53,1061,615,2507,252067,Y,https://www.health.gov.au/sites/default/files/documents/2021/09/covid-19-vaccination-geographic-vaccination-rates-sa4-indigenous-population-31-august-2021.pdf
2021-08-30,ASGS_2016_SA4,QLD,306,Cairns,15,999,22.63,12.06,4795,2555,21191,203846,Y,https://www.health.gov.au/sites/default/files/documents/2021/09/covid-19-vaccination-geographic-vaccination-rates-sa4-indigenous-population-31-august-2021.pdf
2021-08-30,ASGS_2016_SA4,QLD,308,Central Queensland,15,999,21.3,12.34,2147,1244,10078,177341,Y,https://www.health.gov.au/sites/default/files/documents/2021/09/covid-19-vaccination-geographic-vaccination-rates-sa4-indigenous-population-31-august-2021.pdf
2021-08-30,ASGS_2016_SA4,QLD,307,Darling Downs - Maranoa,15,999,31.18,16.65,1684,899,5401,101959,Y,https://www.health.gov.au/sites/default/files/documents/2021/09/covid-19-vaccination-geographic-vaccination-rates-sa4-indigenous-population-31-august-2021.pdf
2021-08-30,ASGS_2016_SA4,QLD,309,Gold Coast,15,999,33.99,19.34,2374,1351,6984,520405,Y,https://www.health.gov.au/sites/default/files/documents/2021/09/covid-19-vaccination-geographic-vaccination-rates-sa4-indigenous-population-31-august-2021.pdf
2021-08-30,ASGS_2016_SA4,QLD,310,Ipswich,15,999,29.51,16.51,3117,1744,10561,280273,Y,https://www.health.gov.au/sites/default/files/documents/2021/09/covid-19-vaccination-geographic-vaccination-rates-sa4-indigenous-population-31-august-2021.pdf
2021-08-30,ASGS_2016_SA4,QLD,311,Logan - Beaudesert,15,999,26.89,14.96,2289,1274,8514,269239,Y,https://www.health.gov.au/sites/default/files/documents/2021/09/covid-19-vaccination-geographic-vaccination-rates-sa4-indigenous-population-31-august-2021.pdf
2021-08-30,ASGS_2016_SA4,QLD,312,Mackay - Isaac - Whitsunday,15,999,21.45,11.33,1356,716,6321,136822,Y,https://www.health.gov.au/sites/default/files/documents/2021/09/covid-19-vaccination-geographic-vaccination-rates-sa4-indigenous-population-31-august-2021.pdf
2021-08-30,ASGS_2016_SA4,QLD,313,Moreton Bay - North,15,999,36.16,22.31,2557,1578,7072,207538,Y,https://www.health.gov.au/sites/default/files/documents/2021/09/covid-19-vaccination-geographic-vaccination-rates-sa4-indigenous-population-31-august-2021.pdf
2021-08-30,ASGS_2016_SA4,QLD,314,Moreton Bay - South,15,999,39.69,24.42,1325,815,3338,169581,Y,https://www.health.gov.au/sites/default/files/documents/2021/09/covid-19-vaccination-geographic-vaccination-rates-sa4-indigenous-population-31-august-2021.pdf
2021-08-30,ASGS_2016_SA4,QLD,315,Queensland - Outback,15,999,34.57,19.29,6246,3485,18068,62754,Y,https://www.health.gov.au/sites/default/files/documents/2021/09/covid-19-vaccination-geographic-vaccination-rates-sa4-indigenous-population-31-august-2021.pdf
2021-08-30,ASGS_2016_SA4,QLD,316,Sunshine Coast,15,999,31.78,18.79,1517,897,4773,315781,Y,https://www.health.gov.au/sites/default/files/documents/2021/09/covid-19-vaccination-geographic-vaccination-rates-sa4-indigenous-population-31-august-2021.pdf
2021-08-30,ASGS_2016_SA4,QLD,317,Toowoomba,15,999,27.25,15.79,1258,729,4617,126770,Y,https://www.health.gov.au/sites/default/files/documents/2021/09/covid-19-vaccination-geographic-vaccination-rates-sa4-indigenous-population-31-august-2021.pdf
2021-08-30,ASGS_2016_SA4,QLD,318,Townsville,15,999,22.64,13.52,3432,2049,15157,190494,Y,https://www.health.gov.au/sites/default/files/documents/2021/09/covid-19-vaccination-geographic-vaccination-rates-sa4-indigenous-population-31-august-2021.pdf
2021-08-30,ASGS_2016_SA4,QLD,319,Wide Bay,15,999,28.46,15.32,2896,1559,10177,246974,Y,https://www.health.gov.au/sites/default/files/documents/2021/09/covid-19-vaccination-geographic-vaccination-rates-sa4-indigenous-population-31-august-2021.pdf
2021-08-30,ASGS_2016_SA4,SA,401,Adelaide - Central and Hills,15,999,41.61,28.53,684,469,1644,256073,Y,https://www.health.gov.au/sites/default/files/documents/2021/09/covid-19-vaccination-geographic-vaccination-rates-sa4-indigenous-population-31-august-2021.pdf
2021-08-30,ASGS_2016_SA4,SA,402,Adelaide - North,15,999,26.1,15.93,1689,1031,6471,354823,Y,https://www.health.gov.au/sites/default/files/documents/2021/09/covid-19-vaccination-geographic-vaccination-rates-sa4-indigenous-population-31-august-2021.pdf
2021-08-30,ASGS_2016_SA4,SA,403,Adelaide - South,15,999,34.19,22.87,1054,705,3083,306352,Y,https://www.health.gov.au/sites/default/files/documents/2021/09/covid-19-vaccination-geographic-vaccination-rates-sa4-indigenous-population-31-august-2021.pdf
2021-08-30,ASGS_2016_SA4,SA,404,Adelaide - West,15,999,29.51,17.53,995,591,3372,202688,Y,https://www.health.gov.au/sites/default/files/documents/2021/09/covid-19-vaccination-geographic-vaccination-rates-sa4-indigenous-population-31-august-2021.pdf
2021-08-30,ASGS_2016_SA4,SA,405,Barossa - Yorke - Mid North,15,999,30.88,18.66,536,324,1736,94756,Y,https://www.health.gov.au/sites/default/files/documents/2021/09/covid-19-vaccination-geographic-vaccination-rates-sa4-indigenous-population-31-august-2021.pdf
2021-08-30,ASGS_2016_SA4,SA,406,South Australia - Outback,15,999,28.39,15.62,1719,946,6056,67834,Y,https://www.health.gov.au/sites/default/files/documents/2021/09/covid-19-vaccination-geographic-vaccination-rates-sa4-indigenous-population-31-august-2021.pdf
2021-08-30,ASGS_2016_SA4,SA,407,South Australia - South East,15,999,28.93,17.13,910,539,3146,160478,Y,https://www.health.gov.au/sites/default/files/documents/2021/09/covid-19-vaccination-geographic-vaccination-rates-sa4-indigenous-population-31-august-2021.pdf
2021-08-30,ASGS_2016_SA4,TAS,601,Hobart,15,999,42.83,29.52,2750,1895,6420,193723,Y,https://www.health.gov.au/sites/default/files/documents/2021/09/covid-19-vaccination-geographic-vaccination-rates-sa4-indigenous-population-31-august-2021.pdf
2021-08-30,ASGS_2016_SA4,TAS,602,Launceston and North East,15,999,46.31,32.33,1557,1087,3362,120977,Y,https://www.health.gov.au/sites/default/files/documents/2021/09/covid-19-vaccination-geographic-vaccination-rates-sa4-indigenous-population-31-august-2021.pdf
2021-08-30,ASGS_2016_SA4,TAS,603,South East,15,999,42.48,27.78,763,499,1796,32801,Y,https://www.health.gov.au/sites/default/files/documents/2021/09/covid-19-vaccination-geographic-vaccination-rates-sa4-indigenous-population-31-august-2021.pdf
2021-08-30,ASGS_2016_SA4,TAS,604,West and North West,15,999,38.4,28.13,1967,1441,5123,92825,Y,https://www.health.gov.au/sites/default/files/documents/2021/09/covid-19-vaccination-geographic-vaccination-rates-sa4-indigenous-population-31-august-2021.pdf
2021-08-30,ASGS_2016_SA4,VIC,201,Ballarat,15,999,59.24,37.5,1959,1240,3307,136404,Y,https://www.health.gov.au/sites/default/files/documents/2021/09/covid-19-vaccination-geographic-vaccination-rates-sa4-indigenous-population-31-august-2021.pdf
2021-08-30,ASGS_2016_SA4,VIC,202,Bendigo,15,999,46.05,30.49,858,568,1863,132413,Y,https://www.health.gov.au/sites/default/files/documents/2021/09/covid-19-vaccination-geographic-vaccination-rates-sa4-indigenous-population-31-august-2021.pdf
2021-08-30,ASGS_2016_SA4,VIC,203,Geelong,15,999,68.39,42.4,9952,6169,14551,252370,Y,https://www.health.gov.au/sites/default/files/documents/2021/09/covid-19-vaccination-geographic-vaccination-rates-sa4-indigenous-population-31-august-2021.pdf
2021-08-30,ASGS_2016_SA4,VIC,204,Hume,15,999,64.71,34.88,3586,1933,5542,146495,Y,https://www.health.gov.au/sites/default/files/documents/2021/09/covid-19-vaccination-geographic-vaccination-rates-sa4-indigenous-population-31-august-2021.pdf
2021-08-30,ASGS_2016_SA4,VIC,205,Latrobe - Gippsland,15,999,36.78,22.32,1392,845,3785,235632,Y,https://www.health.gov.au/sites/default/files/documents/2021/09/covid-19-vaccination-geographic-vaccination-rates-sa4-indigenous-population-31-august-2021.pdf
2021-08-30,ASGS_2016_SA4,VIC,206,Melbourne - Inner,15,999,59.49,39.29,1850,1222,3110,626144,Y,https://www.health.gov.au/sites/default/files/documents/2021/09/covid-19-vaccination-geographic-vaccination-rates-sa4-indigenous-population-31-august-2021.pdf
2021-08-30,ASGS_2016_SA4,VIC,207,Melbourne - Inner East,15,999,88.64,70.17,4464,3534,5036,333298,Y,https://www.health.gov.au/sites/default/files/documents/2021/09/covid-19-vaccination-geographic-vaccination-rates-sa4-indigenous-population-31-august-2021.pdf
2021-08-30,ASGS_2016_SA4,VIC,208,Melbourne - Inner South,15,999,58.8,35.22,718,430,1221,366697,Y,https://www.health.gov.au/sites/default/files/documents/2021/09/covid-19-vaccination-geographic-vaccination-rates-sa4-indigenous-population-31-august-2021.pdf
2021-08-30,ASGS_2016_SA4,VIC,209,Melbourne - North East,15,999,51.2,33.42,2327,1519,4545,448781,Y,https://www.health.gov.au/sites/default/files/documents/2021/09/covid-19-vaccination-geographic-vaccination-rates-sa4-indigenous-population-31-august-2021.pdf
2021-08-30,ASGS_2016_SA4,VIC,210,Melbourne - North West,15,999,46.14,28.75,1093,681,2369,331290,Y,https://www.health.gov.au/sites/default/files/documents/2021/09/covid-19-vaccination-geographic-vaccination-rates-sa4-indigenous-population-31-august-2021.pdf
2021-08-30,ASGS_2016_SA4,VIC,211,Melbourne - Outer East,15,999,71.16,50.3,4145,2930,5825,436533,Y,https://www.health.gov.au/sites/default/files/documents/2021/09/covid-19-vaccination-geographic-vaccination-rates-sa4-indigenous-population-31-august-2021.pdf
2021-08-30,ASGS_2016_SA4,VIC,212,Melbourne - South East,15,999,41.68,24.91,1437,859,3448,693565,Y,https://www.health.gov.au/sites/default/files/documents/2021/09/covid-19-vaccination-geographic-vaccination-rates-sa4-indigenous-population-31-august-2021.pdf
2021-08-30,ASGS_2016_SA4,VIC,213,Melbourne - West,15,999,49.47,24.61,2535,1261,5124,663585,Y,https://www.health.gov.au/sites/default/files/documents/2021/09/covid-19-vaccination-geographic-vaccination-rates-sa4-indigenous-population-31-august-2021.pdf
2021-08-30,ASGS_2016_SA4,VIC,214,Mornington Peninsula,15,999,46.35,27.73,901,539,1944,254563,Y,https://www.health.gov.au/sites/default/files/documents/2021/09/covid-19-vaccination-geographic-vaccination-rates-sa4-indigenous-population-31-august-2021.pdf
2021-08-30,ASGS_2016_SA4,VIC,215,North West,15,999,34.55,19.09,1158,640,3352,124460,Y,https://www.health.gov.au/sites/default/files/documents/2021/09/covid-19-vaccination-geographic-vaccination-rates-sa4-indigenous-population-31-august-2021.pdf
2021-08-30,ASGS_2016_SA4,VIC,216,Shepparton,15,999,34.93,20.05,1331,764,3810,108740,Y,https://www.health.gov.au/sites/default/files/documents/2021/09/covid-19-vaccination-geographic-vaccination-rates-sa4-indigenous-population-31-august-2021.pdf
2021-08-30,ASGS_2016_SA4,VIC,217,Warrnambool and South West,15,999,71.03,43.95,5521,3416,7773,102970,Y,https://www.health.gov.au/sites/default/files/documents/2021/09/covid-19-vaccination-geographic-vaccination-rates-sa4-indigenous-population-31-august-2021.pdf
2021-08-30,ASGS_2016_SA4,WA,501,Bunbury,15,999,24.12,13.24,778,427,3226,146810,Y,https://www.health.gov.au/sites/default/files/documents/2021/09/covid-19-vaccination-geographic-vaccination-rates-sa4-indigenous-population-31-august-2021.pdf
2021-08-30,ASGS_2016_SA4,WA,502,Mandurah,15,999,18.66,9.66,311,161,1667,84465,Y,https://www.health.gov.au/sites/default/files/documents/2021/09/covid-19-vaccination-geographic-vaccination-rates-sa4-indigenous-population-31-august-2021.pdf
2021-08-30,ASGS_2016_SA4,WA,503,Perth - Inner,15,999,35.89,24.87,547,379,1524,154842,Y,https://www.health.gov.au/sites/default/files/documents/2021/09/covid-19-vaccination-geographic-vaccination-rates-sa4-indigenous-population-31-august-2021.pdf
2021-08-30,ASGS_2016_SA4,WA,504,Perth - North East,15,999,19.37,10.06,1073,557,5539,216921,Y,https://www.health.gov.au/sites/default/files/documents/2021/09/covid-19-vaccination-geographic-vaccination-rates-sa4-indigenous-population-31-august-2021.pdf
2021-08-30,ASGS_2016_SA4,WA,505,Perth - North West,15,999,23.09,13.4,1173,681,5081,457992,Y,https://www.health.gov.au/sites/default/files/documents/2021/09/covid-19-vaccination-geographic-vaccination-rates-sa4-indigenous-population-31-august-2021.pdf
2021-08-30,ASGS_2016_SA4,WA,506,Perth - South East,15,999,19.95,11.65,1733,1012,8685,419799,Y,https://www.health.gov.au/sites/default/files/documents/2021/09/covid-19-vaccination-geographic-vaccination-rates-sa4-indigenous-population-31-august-2021.pdf
2021-08-30,ASGS_2016_SA4,WA,507,Perth - South West,15,999,23.36,12.93,1420,786,6079,349701,Y,https://www.health.gov.au/sites/default/files/documents/2021/09/covid-19-vaccination-geographic-vaccination-rates-sa4-indigenous-population-31-august-2021.pdf
2021-08-30,ASGS_2016_SA4,WA,510,Western Australia - Outback (North),15,999,18.95,9.59,3521,1782,18585,75413,Y,https://www.health.gov.au/sites/default/files/documents/2021/09/covid-19-vaccination-geographic-vaccination-rates-sa4-indigenous-population-31-august-2021.pdf
2021-08-30,ASGS_2016_SA4,WA,511,Western Australia - Outback (South),15,999,16.15,7.29,1492,674,9241,92353,Y,https://www.health.gov.au/sites/default/files/documents/2021/09/covid-19-vaccination-geographic-vaccination-rates-sa4-indigenous-population-31-august-2021.pdf
2021-08-30,ASGS_2016_SA4,WA,509,Western Australia - Wheat Belt,15,999,21.89,11.51,989,520,4518,111419,Y,https://www.health.gov.au/sites/default/files/documents/2021/09/covid-19-vaccination-geographic-vaccination-rates-sa4-indigenous-population-31-august-2021.pdf
2021-09-07,ASGS_2016_SA4,ACT,801,Australian Capital Territory,15,999,60.21,38.95,3150,2038,5232,345325,Y,https://www.health.gov.au/sites/default/files/documents/2021/09/covid-19-vaccination-geographic-vaccination-rates-sa4-indigenous-population-8-september-2021.pdf
2021-09-07,ASGS_2016_SA4,NSW,101,Capital Region,15,999,52.75,25.84,3090,1514,5858,188283,Y,https://www.health.gov.au/sites/default/files/documents/2021/09/covid-19-vaccination-geographic-vaccination-rates-sa4-indigenous-population-8-september-2021.pdf
2021-09-07,ASGS_2016_SA4,NSW,102,Central Coast,15,999,50.4,27.45,4285,2334,8502,279520,Y,https://www.health.gov.au/sites/default/files/documents/2021/09/covid-19-vaccination-geographic-vaccination-rates-sa4-indigenous-population-8-september-2021.pdf
2021-09-07,ASGS_2016_SA4,NSW,103,Central West,15,999,54.61,21.39,5284,2069,9675,170545,Y,https://www.health.gov.au/sites/default/files/documents/2021/09/covid-19-vaccination-geographic-vaccination-rates-sa4-indigenous-population-8-september-2021.pdf
2021-09-07,ASGS_2016_SA4,NSW,104,Coffs Harbour - Grafton,15,999,41.46,21.11,2365,1204,5704,116379,Y,https://www.health.gov.au/sites/default/files/documents/2021/09/covid-19-vaccination-geographic-vaccination-rates-sa4-indigenous-population-8-september-2021.pdf
2021-09-07,ASGS_2016_SA4,NSW,105,Far West and Orana,15,999,57.07,19.31,8525,2884,14937,92695,Y,https://www.health.gov.au/sites/default/files/documents/2021/09/covid-19-vaccination-geographic-vaccination-rates-sa4-indigenous-population-8-september-2021.pdf
2021-09-07,ASGS_2016_SA4,NSW,106,Hunter Valley exc Newcastle,15,999,45.31,20.39,4906,2208,10827,223616,Y,https://www.health.gov.au/sites/default/files/documents/2021/09/covid-19-vaccination-geographic-vaccination-rates-sa4-indigenous-population-8-september-2021.pdf
2021-09-07,ASGS_2016_SA4,NSW,107,Illawarra,15,999,48.91,27.58,2962,1670,6056,257183,Y,https://www.health.gov.au/sites/default/files/documents/2021/09/covid-19-vaccination-geographic-vaccination-rates-sa4-indigenous-population-8-september-2021.pdf
2021-09-07,ASGS_2016_SA4,NSW,108,Mid North Coast,15,999,45.09,22.59,5278,2644,11705,185401,Y,https://www.health.gov.au/sites/default/files/documents/2021/09/covid-19-vaccination-geographic-vaccination-rates-sa4-indigenous-population-8-september-2021.pdf
2021-09-07,ASGS_2016_SA4,NSW,109,Murray,15,999,43.97,21.98,1520,760,3457,97988,Y,https://www.health.gov.au/sites/default/files/documents/2021/09/covid-19-vaccination-geographic-vaccination-rates-sa4-indigenous-population-8-september-2021.pdf
2021-09-07,ASGS_2016_SA4,NSW,110,New England and North West,15,999,44.03,18.72,6281,2670,14266,149890,Y,https://www.health.gov.au/sites/default/files/documents/2021/09/covid-19-vaccination-geographic-vaccination-rates-sa4-indigenous-population-8-september-2021.pdf
2021-09-07,ASGS_2016_SA4,NSW,111,Newcastle and Lake Macquarie,15,999,48.08,25.92,4722,2546,9821,310484,Y,https://www.health.gov.au/sites/default/files/documents/2021/09/covid-19-vaccination-geographic-vaccination-rates-sa4-indigenous-population-8-september-2021.pdf
2021-09-07,ASGS_2016_SA4,NSW,112,Richmond - Tweed,15,999,35.96,18.43,2737,1403,7612,208471,Y,https://www.health.gov.au/sites/default/files/documents/2021/09/covid-19-vaccination-geographic-vaccination-rates-sa4-indigenous-population-8-september-2021.pdf
2021-09-07,ASGS_2016_SA4,NSW,113,Riverina,15,999,47.47,24.37,3041,1561,6406,128994,Y,https://www.health.gov.au/sites/default/files/documents/2021/09/covid-19-vaccination-geographic-vaccination-rates-sa4-indigenous-population-8-september-2021.pdf
2021-09-07,ASGS_2016_SA4,NSW,114,Southern Highlands and Shoalhaven,15,999,48.55,24.9,2301,1180,4739,129789,Y,https://www.health.gov.au/sites/default/files/documents/2021/09/covid-19-vaccination-geographic-vaccination-rates-sa4-indigenous-population-8-september-2021.pdf
